Tweets,Label
"Hari ini Tiktok Shop Resmi Ditutup, dan di FYP gue banyak banget lewat konten atau Live  dari Afiliator atau seller dengan Narasi “Bangkrut” “Pengangguran” “Gak Bisa Jualan” “UMKM Mati” dll. Sorry ya guys, Ini gue mau kasih tau Unpopular Opinion gue. ",Negatif
"Apakah TikTok Shop Resmi Ditutup? Seller tak Boleh Jualan Mulai Hari Ini, Jam Penutupan TikTok Shop          lewat ",Negatif
"Dulu Laris Kini Meringis, Curhatan Seller Dipermainkan Algoritma TikTok Shop      ",Negatif
"Pukul 5 Sore ini TikTok Shop Resmi Ditutup, Buruan Chek Out Barang di Trollymu          ",Negatif
"Apakah TikTok Shop Resmi Ditutup? Seller tak Boleh Jualan Mulai Hari Ini, Jam Penutupan TikTok Shop           lewat ",Negatif
"BREAKING NEWS- TikTok Shop resmi ditutup hari ini, Rabu 4 Oktober 2023 pukul 17.00 WIB. Ini syarat jika TikTok ingin tetap berjualan di Indonesia.          lewat ",Negatif
"TikTok Shop akhirnya raib sudah,, padahal baru saja ngerasain penghasilan dari sana, meski masih receh,,  Terima kasih pemerintah atas kebijakan kerdilnya,, 6Jt orang kehilangan hajat hidupnya seketika oleh kalian,, ",Negatif
"Patuhi Regulasi, TikTok Shop Ditutup Hari Ini      ",Negatif
Hari Ini Rabu 4 Oktober 2023 TikTok Shop Resmi Ditutup di Indonesia!: TikTokShop yang merupakan platform jual-beli online di dalam aplikasi TikTokhingga saat ini masih ramai jadi pembahasan..       ,Negatif
selengkapnya     ,Positif
"Kenapa harus tiktok shop nya yg ditutup? Kenapa pedagang kaki lima ga ikut serta jualan online aja? Dulu juga ojek pangkalan pada ga terima sama ojek online, dan pada akhirnya ojek pangkalan skrg pada jadi ojek online.    ",Negatif
"1 bulan setelah TikTok Shop tutup, seller FMCG di Shopee meningkat sampai &gt 188K seller👀  Ini 5 fakta market FMCG di e-commerce setelah TikTok Shop tutup👇     
Fri Oct 13 06:55:52 +0000 2023;1712723814327746694;Selengkapnya:       ",Negatif
"Tiktok shop resmi ditutup, nunggu kabar Tanah Abang &amp  mall-mall pada rame girls 🧐🤲🏻   ",Negatif
Gimana menurut kalian     ,Negatif
PROMO OKTOBER makin gila !!  Jaket Hoodie Sweater Polos Wanita Caramel Khaki Babyterry Bisa pesan disini 👉  Atau langsung klik produknya     ,Negatif
PROMO OKTOBER makin gila !!  Baju Dress Wanita Full Furing Serena Warna Sand Bisa pesan disini 👉  Atau langsung klik produknya           ,Negatif
"Berbicara tentang siapa yang harus disalahkan atas serangan Nord Stream, Putin menekankan bahwa pemasok energi AS-lah yang diuntungkan dari serangan tersebut.    ",Positif
Harga Ikan Dorado atau Golden Dorado Terbaru - Burungnya       ,Positif
Kenali Keistimewaan GTA777 Deposit Pulsa untuk Para Pecinta Judi!    kebangun dari tidur untuk postingan kepuasan batin    ,Positif
"Kalo menurut kalian gimana ?? Setuju atau Tidak setuju?  Btw TikTok Shop kalian udah gone apa belom nih?? Coba share di kolom komentar ya, guys!!         ",Positif
"Kenari Starblue, Kenapa Warnanya Tidak Biru? - Burungnya  Pandawara     ",Negatif
"Enak belanja online laaah.. Gak bayar parkir , kalo nawar selalu dijawab ramah . Kalo cuma liat-liat dan gajadi beli juga gak di-sinisin sama yg dagang....  ",Positif
Jangan sampai akhirnya kita justru menjadi musuh bagi kemajuan regulasi dan aturan aturan yang justru dibuat untuk melindungi bangsa kita sendiri ,Positif
"Saran saya Jangan tergiring oleh narasi yang sesat, yang justru memutar balikan fakta bahwa “aturan itu sesungguhnya dibuat dan ditegakan untuk melindungi Ekonomi digital bangsa kita sendiri dari monopoli” ",Positif
"Jika tiktokshop tdk mampu memenuhi regulasi tersebut, justru yang harus dipertanyakan bagaimana selama ini mekanisme tiktokshop bekerja?, Sudahkah memenuhi standard?, apakah barang yang beredar selama ini di tiktokshop sudah sesuai dengan ketentuan perdagangan? ",Negatif
"Didalam regulasi itu mencantum standarisasi barang, harga minimum dan pengaturan peredaran barang dari luar yang masuk ke Indonesia untuk mencegah Monopoli perdagangan oleh negara lain atau sebuah platform global ",Negatif
"Gak setuju dengan cara itu?, ya sebaiknya narasinya adalah mendesak tiktokshop memenuhi regulasi dan aturan main sebagai marketplace atau ecommerce. Ini konsep keadilan menurutku agar tiktokshop dapat diperlakukan sama seperti ecommerce lainnya di negara ini. ",Negatif
"Ya mungkin sebagian orang harus effort dulu melakukan kebiasaan ini, tapi bukannya mekanismenya masih tetap sama dan aksesbilitasnya juga masih menggunakan digital? Toh awal sebelum ada tiktokshop juga terbiasa dengan seperti itu ",Positif
Tapi bukankan masih bisa jualan dilakukan dengan tetap live atau berpromosi melalui Tiktok kemudian direct link ke Ecommerce yang terdaftar secara resmi? ,Positif
Karena Kata bangkrut dan pengangguran itu seakan akan tidak ada lagi aksesbilitas dan upaya yang bisa dilakukan untuk berjualan melalui platform yang semestinya  ,Negatif
"Setelah nonton konten dan live tadi gue jadi penasaran. Apa iya bangkrut?, apa iya jadi pengangguran?, apa iya gak bisa jualan?. Kenapa jadi narasi yang dibuat semuanya sama, kayak di brief.  ",Positif
"Hidup kadang gitu ya bestwiii, ada aja ujiannya 🥺                   ",Positif
"Kucing Bobcat, Kucing Liar yang Unik - Burungnya      ",Positif
Tiktok shop resmi di tutup hari ini!! Menurut kalian gimana?   ,Negatif
Waah udah ada statement resmi nih Sobiz😱  Gimana nih business owner? Coba dong share pendapat kamu dibawah!       ,Positif
"Mereka akan menghentikan fasilitasi transaksi di TikTok Shop Indonesia pada 4 Oktober, pukul 17.00 WIB  Selengkapnya ditautan berikut:           ",Positif
"Meskipun nggak tersurat, namun TikTok seolah mengisyaratkan ingin membuat TikTok Shop online baru. TikTok bilang gitu lewat pernyataan resmi mereka.    ",Positif
6 Kafe Kucing di Jakarta Terbaik - Burungnya     ,Positif
"Live terakhir di tiktok malah banyak yang nonton , besok jualan dimana yah       ",Positif
TikTok Shop mau ditutup‼️😱 Minlab shockkk besok hari terakhir😭 Sebagau perpisahan minlab kasih BIG SALE BANTING HARGA mauu? 🥺     ,Positif
"Tiktok Shop Resmi Ditutup di Indonesia. Ini bukan akhir dari segalanya, tapi justru awal untuk mencari strategi baru. Otak kreatif UMKM Indonesia sangat cerdas, yook semangat yookk 💪    ",Positif
per tanggal 4 oktober 2023 tiktokshop ditutup.alasannya melindungi pedagang kecil.  konyol !!!   ,Negatif
Info terkini. Valid terkonfirmasi dari orang Tiktokshop langsung ya. Tinggal tunggu pembaharuan informasi terkait adaptasi regulasi ke depannya gimana.   Tuhan jaga pintu rejeki lainnya. Aminnn    ,Positif
TikTok Resmi Tutup Layanan Berbelanja Mulai 4 Oktober            ,Negatif
"Masih ga ngerti sama pemerintah, katanya pemerintah tapi kebijakannya gak helicopter view dan sangat cepat. Kami para tiktokshop seller dan affiliator tertatih mengikuti keegoisan kalian         CC: ",Positif
"Penutupan Tiktok Shop merupakan langkah tepat pemerintah merespon fenomena sepinya pelanggan di Pasar Tanah Abang. Sosial media tidak seharusnya menjadi lahan untuk bertransaksi perdagangan, namun cukup sebatas untuk mempromosikan sebuah produk.    ",Positif
Penutupan Tiktok Shop merupakan langkah tepat pemerintah merespon fenomena sepinya pelanggan di Pasar Tanah Abang. Sosial media tidak seharusnya menjadi lahan untuk bertransaksi perdagangan       ,Positif
Pemerintah tutup Tiktok Shop!! Sebenarnya ada 2 sudut pandang. Tergantung gimana cara orang liat aja. ,Positif
Selamat tinggal keranjang kuning! TikTok Shop telah ditutup di Indonesia. Ayo kita dukung platform lokal dan eksplorasi produk kreatif lokal lainnya.      ,Positif
tiktok shop gak ada kapok kapoknya wkwk gak takut ditutup lagi apa? maun ketawa tp kasian seller pasti kebingungan huhu",Negatif
Belum kapok ya tiktok shop pernah ditutup waktu itu ? Skrg malah melanggar aturan lagi,Negatif
Tuhkan kayanya bau bau bakal ditutup lagi nih tiktok shop?? Udh paling bener belanja di tempat e-commerce yg jelas kl gini jadi was2 takut tiba2 tutup lagi,Negatif
 Tiktok Shop apa ga takut ditutup lagi? Ga jelas mulu sih. Lebih jelas di e-comm biasa,Negatif
 Gimana klo tiktok Shop ditutup lagi ya? Kasian seller nya,Negatif
" ah, aku lupa kalau tulisan tidak bernada  harusnya TikTok Shop (dibiarkan) tetap (ada), yang ditutup (seharusnya) malah TikTok-nya (aja)""""",Positif
"kudune ki TikTok Shop tetep, sek ditutup malah TikTok e..  HAASSSHH TIKTOK MENEH!!",Negatif
Moment ganjarpranowo memberikan solusi kepada Afiliate tiktok shop yang ditutup -         ,Negatif
"Trending TikTok Shop Resmi Ditutup, Menu Hilang dan Tak Ada Lagi Keranjang Kuning Halaman all -  - Tekno   ",Negatif
Kok ya gak ada yg nyadar pas tiktok shop ditutup yg naik kebanyakan konten parpol tertentu yg koalisi paslon tertentu. 01 &amp  03 ngelive kemarin2 uda gak begitu ngaruh karena kalah start 2-3 bulan.,Positif
"Yang saya penasaran apa setelah akuisisi ini TikTok bakal lanjut bakar duit dengan subsidinya   Sebelum ditutup pemerintah , pada tahun 2022 total penjualan Tiktok Shop sekitar 39.5 triliun rupiah.   dengan nilai akuisisi Tokped setara 23.7 triliun rupiah dan kalau diambil biaya…",Negatif
"Kemarin sempat menggunang dunia ekonomi dan umkm, sampai tiktok shop ditutup. Tapi sebenernya Tiktok lebih mengancam dari itu..  Dengan algoritma dan format yang cukup berbeda dengan platform platform sebelumnya, Tiktok bergerak lebih cepat",Positif
"iya, termasuk Indonesia juga. tiktok shop ditutup aja pada mewek, ini kabel Internet diputus mau kek mana. perbankan, e-commerce, medsos, sampe ojol ya rungkad ",Negatif
"Pertama Kali Diluncurkan pada 2021, TikTok Shop Resmi Ditutup Hari Ini Pukul 17.00 WIB -  -   ",Positif
"Maaf pak ijin bertanya.. Politik skrg menguasai TikTok ? ,dulu TTS (TIK tok Shop) Ditutup oleh siapa? Mau pilpres  Tiba-tiba dibuka ! Cari sipati rakyat? Yg melarang bahkan membakar BarangTrifting/second juga org2 bpk Sampai butik saya di Mall harus  Tutup dan merugi puluhan jt. ",Negatif
Nasional  Tiktok Shop ditutup 2 bulan lalu.  TikTok Shop kini diberi izin beroperasi secara legal.   Buka lagi Jumat (12/12/2023) lalu.  Reaksi:  -Ahli hukum -UMKM -Pedagang tradisional/online di platform lain?    Aliran dana partai. ,Negatif
" Ini aturan buat e-commerce kek Shopee,yg dlu ada seller dr China, dan udh dr bulan² kmren malah ilang, sejak tiktok shop ditutup. Kalau mau beli barang misal case HP 1 box dg nilai 105$ y masih bisa lwat ali keknya.",Negatif
"Demi melindungi UMKM, TikTok shop ditutup, setelah ditutup, ternyata tidak ada perubahan berarti, karena penjualan tinggi di TikTok shop ternyata fiktif  Dan sekarang dibuka kembali  Masih sama aja. pasti ada yang beneran dimudahkan dengan tiktok shop, karena rezekinya disitu",Negatif
 halah ditutup aplikasi ne nyandak live tiktok shop.,Positif
TikTok Shop Ditutup : Bagaimana Pengaruhnya Dalam Ruang Lingkup Ekonomi: Continue reading on Medium »    ,Negatif
" Keknya algoritma TikTok emng dh diatur dah,. Dulu pas TTS ditutup, si Bahlil blng ga bakal kasih ijin buat tiktokshop lagi ,demi UMKM.  Mngkin ada nego soal algoritma buat pilpres, jd TikTok shop bisa lagi .",Negatif
"Pengen buka toko di ttshop, tapi jujur aja belum sreg karena tiktok shop ga punya apps sendiri sebagai e-commers. Padahal dulu tujuan awal ttshop ditutup biar ttshop punya stand yg jelas sebagai sosmed atau e-commers. Tapi yah gitu.....",Positif
Trending Alasan Transaksi TikTok Shop Ditutup Hari Ini Pukul 17.00 WIB -  - Tekno   ,Negatif
"Trending TikTok Shop Resmi Ditutup, Menu Hilang dan Tak Ada Lagi Keranjang Kuning -  - Tekno   ",Negatif
Emang udah bener sih tiktok shop ditutup... Masa gue tiba-tiba co 3 baju bejiiirrrr kayak yang punya duit aje.,Positif
"   emg sekarang TikTok afiliate masih ada? bukannya tiktok shop udh ditutup?... terakhir punya tiktok sih gitu, sekarang blum instal lagi",Positif
Kaleidoskop Ekonomi 2023: TikTok Shop Ditutup Hingga Whoosh Melesat Cepat di Indonesia.    ,Positif
ini tiktok shop ditutup lagi aja dah anj jadi hectic banget aing hari hari,Positif
" tp emang warga tiktok sumpah bang banyak bgt yg sdm rendah atau apa lah bahasanya, temenku tiap hari juala kaos 100 4 bahan pe dia bilang katun banyak bgt yg co tiap hari dan laku trs sblm tiktod shop ditutup,kadang aku mikir apa mrk g mikir mana ada bahan katun 100 4 😭😭😭😭",Negatif
"sumpah tiktok shop ditutup bikin galau, pas udah buka lagi malah nyesel CO terus tanpa sadar soalnya live nya seliweran 😭 yuk bisa nabunggg lagi",Positif
"tiktok shop ni memang lbih bagus ditutup sj spertinya, sgt berbahaya utk dompet saya brooowwwhhh😔😩😭",Negatif
Berikut ini poin perjalanan polemik TikTok Shop sepanjang 2023 di Indonesia sejak ditutup dan kembali beroperasi. ,Negatif
"  Kan waktu itu tiktokshop ditutup, trus menteri perdagangan (yg baru2 ini dilaporin Menista Agama) ketemu sm CEO nya tiktok, mungkin ada deal² tertentu disana.   Skrg tiktok shop udh buka lagi kan?",Positif
" akhir september kemarin pas tiktok shop mau ditutup kena 3,8 nder",Negatif
"Yang sempat bikin gonjang ganjing juga nih TikTok Shop yang tiba-tiba ditutup tapi akhirnya balik lagi 😮‍💨  Banyak bener dampaknya ke UMKM online yg penjualannya tiba2 turun, host live streaming kena lay off, sampai harus ngulang dari awal lagi, huuftt ",Positif
" iya tiktok shop waktu sblm ditutup, semoga keluar segitu lg dah",Positif
Alhamdulillah udah sering ga scroll2 Shopee dan kemarin sudah lega tiktok shop ditutup eh sekarang dibuka lagi jd tiap liat video selalu liat orang live jualan lagi. Jiwa belanja ku tidak baik2 saja😢,Negatif
" Masii bisa co nderr, gatau jg nih bingung bgt ama kebijakan tiktok shop yg baru jadii raguu mau daftarin jualanku ntr takut tiba² ditutup lagi kn yg ada rugii kita 😭",Negatif
"Setelah sempat beberapa waktu lalu Titok Shop ditutup,  dikarenakan Tiktok Shop hanya memiliki Izin Kantor Perwakilan Perusahaan Perdagangan Asing (KP3A) yang mana izin tersebut tidak memperbolehkan untuk berdagang.",Negatif
"Tiktok shop ditutup, tanah abang kembali ramai??? Skrg tiktok shop dibuka lagi, apa kabar tanah abang???",Positif
"Algoritma tiktok shop jelekkkk banget daah 😭 nggak kayak sebelum ditutup kemarin, kalau sekarang malah ngasih algoritma ke produk goto WKWKWKWKWW",Negatif
"TikTok Shop buka lagi setelah akuisisi Tokopedia, pedagang dan afiliator berharap 'jangan sampai ditutup lagi' -  ",Positif
"Tiktok shop lelet bgt, seminggu paket gw blm dateng2, perasaan kemarin pas sbelum ditutup paling cepet bgt pengirimannya 😭",Positif
"[N.E.W]  2 bulan berlalu sejak ditutup, Tiktok Shop kembali dibuka usai resmi mengakusisi dengan PT Go to Gojek Tokopedia dengan berinvestasi senilai US$ 1.5 miliar. Berkat kerjasama, Tiktok Shop kembali beroperasi dan dikelola oleh Tokopedia. ",Positif
"Ngerti, banyak banget yang mencari nafkah lewat TikTok shop, tapi karena satu dan lain hal, demi kebaikan bersama harus ditutup dulu, guys.  Untung masa itu sudah berlalu!  Insya Allah sekarang udah bisa lagi cari cuan di TikTok Shop! Alhamdulillah semangat UMKM Indonesia! ",Positif
 Tau gini mah gak usah ditutup kemaren tiktok shop. Ribet. Balik dengan wajah yg sama. Cuma ada lokal lokalnya.,Negatif
Dari awal tiktok shop ditutup habis pas tiktok shop dibuka. Semoga kamu dijual 50rban lagi yew bening😁 ,Positif
Hari kedua tiktok shop dibuka sudah terpantau c.o 3 barang :) apa harus ditutup lagi? Wkwkw,Positif
Kesepakatan ini tercapai setelah TikTok Shop sempat ditutup karena pemerintah Indonesia melarang transaksi belanja online di platform media sosial pada 4 Oktober 2023. .,Negatif
"Sempat Ditutup, TikTok Shop Kembali Buka Setelah Gandeng Tokopedia      ",Negatif
"Fitnahan dari  cabang margaasih bandung karena ntah males bekerja atau apa? Kmren Tiktok shop ditutup pada nangis tapi giliran dikasi kerjaan berbohong hahaha tiap ditanya ke CS jwabnya ""AKAN KAMI TINGKATKAN, JD BAHAN EVALUASI""     ",Negatif
"Yang gua bingung kemarin masalah tiktok shop ditutup itu karena dia social commerce, tb tb buka lagi tapi konsepnya sama masih social commerce. Jujur ga ngerti, walau tokped udah beli hak live nya tiktok dan saham nya dibeli, tapi konsepnya ttp social commerce. I dont get it",Positif
Kata gue tiktok shop mending ditutup lagi 😮‍💨,Negatif
" Yg jadi pertanyaan sy yg awam ini adlh, apakah barang2 yg dijual oleh TikTok shop msh kebanyakan dari luar ? Setahu sy itu yg menjadi poin ketika ditutup kemarin. Barang2 yg dijual jauh lbh murah harganya, drpd yg produksi dlm negeri. Sisi TKDN-nya/local content.",Positif
TikTok Shop kembali beroperasi usai sempat ditutup pemerintah. Kementerian Kominfo mengungkapkan tidak akan melakukan pemblokiran terhadap platform tersebut. ,Negatif
"Dari akun tiktok shop ditutup sampe dibuka lagi, aku tetp gk paham cara belanja disana🙃",Negatif
"TikTok, kembali mengoperasikan TikTok Shop sebagai platform e-commerce terintegrasi. Keputusan ini diambil setelah TikTok Shop ditutup pada Oktober 2023  ",Negatif
TikTok Shop buka lagi 🤣 Buat apa ditutup kalo cuma buat bikin heboh 🤣,Negatif
"Sempat ditutup di Indonesia, TikTok Shop buka lagi lewat kerja sama dengan Tokopedia. Sekarang, pengguna sudah bisa belanja di TikTok Shop. ",Negatif
"Tiktok Shop sudah kembali lagi ya.  Memang kemarin bukan gara-gara Tanah Abang dia ditutup, ya karena belum sesuai regulasi saja izinnya sebagai ecommerce.",Negatif
" Ntah, bukanya tiktok shop ditutup karena media sosial dan toko online dijadikan satu, takut algoritma dan data user medsos disalgunakan. Kalo begini apa bedanya.",Negatif
Pedagang Tanah Abang yang mengira TikTok shop ditutup kemaren itu benar benar demi membela aktivitas usaha mereka. ,Positif
"Maren pas tiktok shop ditutup rumah jd jarang paket soalnya mak gw gabisa make shopee, ni dah dibuka lg siap siap ada aja paket random yg blio bli",Negatif
"thank you tokopedia for acquiring tiktok shop! karena waktu tiktok shop ditutup, beberapa seller mengalami penurunan income sampe 90%. sebagian besar user jg kesulitan untuk melakukan pembelian karena ribet dan lama prosesnya. harus ss dulu dari live, trs wa seller, dst",Positif
"Siapa yang sudah checkout hari ini lewat Tiktok Shop? 🛍️  Kemitraan TikTok dengan GoTo, diumumkan pada Senin (11/12), membuka jalan bagi TikTok Shop untuk beroperasi kembali di Indonesia mulai hari ini (12/12).  Pengumuman ini datang setelah TikTok Shop sempat ditutup karena… ",Negatif
"Setelah sempat ditutup pada Oktober lalu, TikTok Shop kini sudah beroperasi kembali.  Mulai hari ini, Selasa (12/12/2023), para pelaku usaha bisa kembali melakukan live streaming di platform berbagi video tersebut.  Kembali dibukanya TikTok Shop ini setelah adanya kerjasama… ",Positif
"Setelah dulu TikTok Shop ditutup pemerintah dan dilarang beroperasi, kemarin TikTok umumin kalo mereka ngebeli saham mayoritas Tokopedia. Divisi marketplace TikTok (yang dulu namanya TikTok Shop) jadi bisa beroperasi lagi lewat situ.  Berita ini cukup bikin heboh seisi timeline… ",Positif
"Jangan Senang Dulu, TikTok Shop Akan Ditutup"" Lagi April 2024 ",Positif
"Tiktok shop buka lg  tp harga blm semurah seperti sebelum ditutup kemaren. Dan yg gw pantengin akun live petshop, seru bgt jualan puppies, apalagi baby husky cu bgt. Pengen beli tp takut suru ngungsi ama orang rumah 🐶",Positif
" Dapat cobaan dan hikmahnya wkwk, padahal tiktok shop ditutup ya buat mencegah permainan dagang yg di tiktok, coba usaha lagi, kali ini join ke Tokopedia, dikiranya join partner kerjasama, gak tahunya akuisisi, ya siap2 aja ini mah Tokopedia bakalan kayak tiktok shop hehe",Positif
Sudah menduga pas tiktok shop ditutup sementara sih ini.,Negatif
11 Desember 2023 TikTok mengumumkan bahwa TikTok Shop akan hadir kembali bersama kemitraan dengan Tokopedia. Sayangnya kabar menggembirakan ini menutup kabar lain yaitu aplikasi Pegipegi mengumumkan resmi ditutup atau tidak beroperasi lagi.   ,Negatif
"kata gue tiktok shop udh paling bener ditutup, biar ga check out check out jir😫",Positif
"⚠️NEWSSSS⚠️  TikTok Shop akhirnya dibuka kembali hari ini pada tanggal 12 Desember usai sempat ditutup pada Oktober 2023 lalu. Kali ini, TikTok Shop hadir kembali dengan bekerja sama dengan Tokopedia.  Dukung UMKM Lokal, Belanja Produk Lokal &amp  Pakai Produk Lokal! ",Negatif
"percuma kmrin debat debat pasal tiktok shop ditutup, lah sekarang kebuka lagi kan😂",Negatif
"TikTok rancang untuk melabur lebih AS$1.5 bilion dan membeli 75% kepentingan dalam platform e-dagang terbesar Indonesia, Tokopedia  Terdahulu, TikTok Shop terpaksa ditutup atas arahan kerajaan Indonesia dalam usaha melindungi peniaga tempatan ",Positif
Saya jadi menduga-duga kenapa tiktok shop ditutup kemarin. 🤔,Negatif
"  Wkwkwkwk rill, kemarin pas belum ditutup pas masih jadi satu sama tiktok, si shopee gencar banget ngasi gratis ongkir &amp  potongan 50%, ehh pas tiktok shop ditutup udah ga ada promo dan gratis ongkir lagi🤣",Positif
"Sempat Ditutup, Besok TikTok Shop Bakal Kembali dalam Spesial Harbolnas 12.12 |   lewat ",Positif
"TikTok Shop, resmi di buka kembali!  Sempat ditutup pada bulan Oktober 2023, kini TikTok shop resmi di buka kembali pada tanggal 12 Desember 2023 bertepatan dengan Hari Belanja Online Nasional (Harbolnas).",Negatif
"   Sempat ditutup pemerintah Indonesia pada Oktober 2023 lalu, TikTok Shop akhirnya diperbolehkan beroperasi kembali mulai 12 Desember 2023. Bedanya, kali ini TikTok Shop bekerja sama dengan Tokopedia.",Negatif
Percuma tiktok shop dibuka tp sopi beli dr luar negeri msh ditutup. Wkwkwk.,Negatif
" Ini tiktok shop udh bisa diakses lagi, kan kemaren sempet ditutup.  Jadi skrg keknya udh integrasi sm tokopedia.",Positif
TikTok Shop kembali beroperasi setelah sempat ditutup pada Oktober lalu. TikTok Shop kini bekerja sama dengan Tokopedia.  Kemitraan strategis ini akan diawali dengan periode uji coba  dimulai pada 12 Desember 2023 bertepatan dengan Harbolnas.  Mau belanja apa nih besok 12.12? ,Negatif
Indonesia ini gimana sih. Tiktok Shop ditutup katanya Sosmed sama e-commerce ga boleh gabung. Lah ini malah digabung merger beneran sama Tokopedia.   Kan tetap Sosmed sama we-commerce gabung dong ini namanya.,Positif
Tiktok Shop resmi come back melalui Tokopedia setelah sempat ditutup pada awal Oktober 2023.  Pelanggan bisa kembali berbelanja di TikTok lewat fitur belanja atau “Shop Tab” mulai selasa (12/12/2023).        ,Positif
"Setelah ditutup pada tanggal 4 Oktober 2023 lalu, TikTok Shop akhirnya buka kembali. Akan tetapi kali ini, TikTok Shop akan menggandeng e-commerce lokal Tokopedia.",Positif
TikTok Shop akhirnya dibuka kembali pada tanggal 12 Desember setelah sebelumnya ditutup pada Oktober 2023. • SUMBER:  •          See translation ,Negatif
"Setelah resmi ditutup pada Oktober 2023 lalu, kehadiran kembali TikTok Shop menjadi momentum yang ditunggu-tunggu oleh banyak konsumennya. Kali ini tiktok shop sah beroperasi lewat tokopedia   SC : FOLKATIVE ",Positif
 gara² isyu tiktok . saham tokopedia yg awalnya 60 an rupiah .. perlahan diatas 100 🤣🤣🤣 pas awal toltok shop ditutup . saat itu republika yg memuat analisis pertama  langsung sahamnya naik ke 80 . makin santer ehh 100 an .,Positif
"TikTok Shop, resmi kembali beroperasi!⁣ ⁣ Platform e-commerce yang terintegrasi dengan media sosial TikTok ini, resmi kembali beroperasi di Indonesia setelah sempat ditutup pada Oktober 2023 lalu. TikTok Shop kini bekerja sama dengan Tokopedia.⁣  &gt &gt   ",Negatif
Balas dendam tiktok shop ditutup ga main-main wkwk,Negatif
Akhirnya masa depan yg cerah muncul lagi🥺 Sebagai seller online kerasa banget saat tiktok shop ditutup kemarin.,Positif
" Yang bisikin presiden buat Tiktok Shop ditutup itu siapa, ya? Hahaha..",Negatif
"Nangis ya Allah. Tiktok shop buka lagi, smg rejekinya sama spt pas blm ditutup",Negatif
